user_id,item_id,rating
356857,1017874,
699019,1011623,
699019,1016776,
356857,1015560,
1725629,1012481,
699019,1036157,
1396811,1017645,
1396811,1005598,
356857,1009238,
1364128,1042908,
392323,1029239,
76592,1008412,
699019,1013384,
566205,1043718,
1637889,1053203,
76592,1008877,
76592,1097970,
1394598,1097351,
1394598,1009954,
974538,1018686,
331332,1097970,
1372572,1019658,
577507,1097302,
561775,1045021,
1396811,1002295,
1725629,1012920,
1641538,1029786,
897940,1098091,
1725629,1044487,
1919099,1098224,
933078,1026172,
1725629,1023065,
897940,1002434,
1684065,1097972,
561775,1029369,
1641538,1012145,
1344806,1024057,
1637889,1013384,
1678815,1097930,
1372572,1013025,
857472,1098304,
1396811,1027812,
577507,1036743,
1364128,1097613,
1038013,1030880,
361745,1016663,
1364128,1098051,
735673,1002963,
361745,1052234,
1684065,1008702,
930222,1044366,
1038013,1098573,
1364128,1044486,
930222,1098287,
1344806,1017031,
91227,1021578,
203994,1006288,
974538,1009139,
974538,1014188,
392323,1006475,
933078,1027806,
162770,1026172,
482297,1009181,
361745,1003957,
1364128,1019845,
857472,1033688,
1319952,1027590,
621313,1016419,
91227,1019071,
1038013,1024844,
1038013,1019576,
356857,1012779,
1788864,1017383,
392323,1034478,
361745,1027883,
1279211,1010352,
857472,1018151,
974538,1009768,
91227,1007684,
1624940,1004631,
103754,1043818,
699019,1020546,
581793,1021206,
699019,1033697,
581793,1032642,
33616,1029275,
1788864,1025477,
699019,1032444,
91029,1018252,
735673,1019067,
1372572,1029068,
392323,1019690,
33616,1021265,
1624940,1026039,
621313,1004522,
162770,1098312,
1737194,1098425,
1530417,1003508,
1279211,1001180,
1737194,1098687,
647816,1033688,
1319952,1047130,
1144797,1014523,
33616,1097595,
933078,1010093,
1319952,1019532,
1343084,1001138,
203994,1098883,
1548690,1006175,
130494,1052381,
1396811,1020844,
1396811,1033041,
1038013,1022601,
1769678,1062394,
930222,1097201,
1254281,1053974,
1365590,1024414,
1394598,1024844,
1334242,1098472,
1679444,1006288,
1668096,1015496,
1725629,1003926,
1344806,1028678,
356857,1009544,
897940,1012809,
74407,1028015,
1325500,1014917,
1364128,1098431,
602007,1052069,
1605966,1004121,
1396811,1021192,
498624,1022971,
544585,1022385,
356857,1012752,
1054133,1024414,
1641538,1008388,
392323,1097552,
361277,1048701,
1725629,1001271,
566205,1014344,
329931,1098109,
103754,1006016,
1256784,1019845,
1144797,1021837,
476604,1024619,
561775,1050016,
1254281,1040748,
1668096,1012011,
1558104,1010317,
1823077,1015706,
91227,1035473,
162770,1007877,
1396811,1038536,
1668096,1000412,
1325500,1004631,
470765,1002716,
1365590,1019875,
404609,1027171,
1605966,1098200,
930222,1002256,
1256784,1000026,
1279211,1098750,
1864745,1053318,
1823077,1050778,
1548690,1013133,
699019,1012590,
672223,1002389,
561775,1009158,
1637889,1016708,
361277,1029394,
1725629,1009181,
1358350,1098405,
1380123,1039877,
621313,1045697,
1854922,1097660,
392323,1022161,
1394598,1098659,
1380123,1019180,
425550,1022316,
329931,1021192,
103754,1097552,
1393595,1018539,
130494,1091582,
974538,1037379,
1458417,1014218,
595120,1024095,
1769678,1007206,
595120,1040393,
1919099,1018537,
1558104,1026764,
1919099,1022513,
933078,1024618,
1343084,1028635,
148947,1006288,
148947,1003574,
91029,1042433,
329931,1030937,
974538,1098099,
1008317,1023631,
71447,1029764,
1668096,1013070,
890170,1013542,
276139,1043426,
1933785,1051683,
974538,1001224,
890170,1012638,
1694491,1027361,
1334242,1038575,
1737194,1008109,
735673,1024760,
516481,1019009,
203994,1002542,
1254281,1053890,
872414,1021206,
1458417,1026457,
933078,1062098,
1343084,1017127,
329931,1025382,
1737194,1029669,
74407,1012174,
1584975,1098050,
1256784,1024680,
1262101,1098132,
1279211,1029058,
183332,1031469,
595120,1019512,
897940,1013022,
469591,1009730,
1788864,1017959,
1933785,1006028,
103754,1012859,
476604,1020344,
1919099,1018076,
422142,1021869,
1394598,1000529,
699019,1030320,
1605966,1098977,
1637889,1007441,
148947,1050244,
276139,1037956,
465389,1031703,
1355899,1027046,
1637889,1018520,
356857,1046331,
1054133,1002476,
351557,1002934,
211377,1004469,
470765,1027046,
1584975,1024652,
1355899,1026007,
933078,1097512,
930222,1003485,
329931,1097985,
707912,1002922,
106190,1039248,
1393595,1013691,
1395316,1024759,
985544,1027718,
707912,1032160,
1589353,1003550,
361745,1044049,
1394598,1022096,
566205,1008667,
1364128,1029931,
500569,1031368,
872414,1098472,
422142,1089503,
1694491,1018143,
581793,1030320,
647816,1023065,
476604,1018317,
469591,1098595,
1737194,1009757,
1641538,1017358,
1393595,1000006,
1946133,1016793,
647816,1000525,
933078,1004421,
1641538,1098757,
1624940,1013596,
511347,1028152,
553469,1068684,
561775,1015786,
580803,1005812,
1530417,1097585,
707912,1013414,
906435,1006547,
595120,1015374,
1769678,1018937,
351557,1011117,
1199811,1006854,
476604,1063369,
1919099,1021466,
412048,1010234,
1262101,1021840,
1540753,1019857,
1393595,1019857,
219172,1008915,
1038013,1025628,
96520,1027718,
91029,1024389,
1823077,1023164,
1684065,1012481,
1540661,1018736,
933078,1003158,
699019,1004445,
71447,1045169,
1262101,1007434,
1179593,1004712,
1054133,1005807,
1714933,1017306,
577507,1001138,
566205,1014009,
1589353,1014547,
1343084,1022359,
1678815,1023509,
404609,1011871,
821826,1035583,
1393595,1019331,
1769678,1002404,
711933,1012920,
1139968,1024819,
1371985,1014358,
777962,1098508,
404609,1004042,
857472,1023479,
1067741,1024998,
1235184,1098049,
1690623,1013614,
1107932,1002766,
1254281,1018599,
1725629,1021527,
1714933,1011846,
1690623,1043818,
1036450,1002365,
1355899,1009227,
860670,1043454,
595120,1011644,
1854922,1006612,
1725629,1020778,
1396811,1064441,
1355899,1032042,
544585,1010209,
1624940,1028964,
516481,1098749,
490864,1026015,
602007,1002983,
580803,1055282,
943294,1013697,
1864745,1027386,
718369,1097330,
1589353,1024538,
1225857,1001138,
1262101,1003454,
1290094,1005914,
469591,1036180,
203994,1028521,
1139968,1019769,
416513,1026478,
476604,1097906,
183332,1024618,
91029,1008279,
1372572,1004866,
469879,1043362,
1319952,1030666,
1334242,1021263,
1678815,1033959,
581793,1043833,
1279211,1021213,
1641538,1027009,
74407,1018070,
1567203,1030233,
1550509,1010309,
33616,1037731,
1776889,1039877,
699019,1032683,
1226229,1098571,
581793,1023637,
148947,1017927,
1263087,1097580,
1067741,1007117,
1884244,1021194,
96520,1018623,
1589353,1007329,
553469,1008916,
660146,1005637,
470765,1014802,
428841,1019305,
361745,1008872,
595120,1025668,
404609,1009326,
1395316,1035002,
490864,1008780,
1067741,1048942,
1144797,1098859,
331332,1009496,
1139968,1029107,
91227,1012882,
91227,1000454,
1365745,1003099,
219172,1015911,
1394598,1023643,
1358133,1032473,
475373,1031469,
658554,1024272,
1854922,1014120,
1597993,1012920,
203994,1009453,
544585,1027718,
1325500,1016580,
777962,1032111,
361277,1030879,
316724,1099142,
1690623,1036874,
1946133,1027137,
802649,1024095,
252677,1008412,
1225857,1005288,
1540753,1032453,
1402908,1007723,
1076915,1007275,
1597993,1026060,
1344806,1019769,
1668096,1016522,
1769678,1001077,
1540753,1027239,
91029,1019512,
219172,1004994,
1433263,1019490,
480956,1021912,
1365745,1008444,
1540661,1005205,
735673,1020601,
943294,1018437,
1694491,1009768,
1458417,1008666,
777962,1029632,
412048,1014174,
1767054,1022297,
412048,1018861,
392323,1031021,
1459729,1098045,
1365745,1009453,
404609,1028174,
1365745,1021869,
1094849,1006958,
276139,1098227,
1933785,1098781,
590678,1048925,
1365590,1025713,
561775,1011119,
316724,1024760,
644811,1018272,
1256784,1008761,
303159,1009631,
422142,1032152,
415222,1024629,
480956,1053935,
647816,1017685,
1208674,1024629,
1263087,1098764,
1179593,1025831,
544585,1004539,
718369,1098799,
329931,1044978,
197986,1053620,
1279211,1023677,
1076915,1027598,
106190,1008461,
361277,1017870,
1078521,1019009,
958969,1079828,
1558919,1025449,
1458417,1029128,
1794301,1010542,
490864,1021377,
1156319,1010212,
1256784,1053349,
821826,1011644,
469879,1016181,
636734,1037854,
544585,1004295,
1540661,1018224,
1402908,1004976,
1864745,1043359,
331332,1031703,
649037,1012376,
